serialid,ipscntry,d3c,type_settlement,EU_story,most_used_media,q2b_media_used_news_2,q2b_media_used_news_2.1,q2b_media_used_news_3,q2b_media_used_news_4,q2b_media_used_news_5,q2b_media_used_news_6,q2b_media_used_news_7,q2b_media_used_news_8,q2b_media_used_news_9,q2b_media_used_news_10,q2b_media_used_news_11,q2t_1,q2t_2,q2t_3,q2t_4,q2t_5,q2t_6,q2t_7,q2t_8,q2t_9,q2t_10,q2t_11,q3_access_online_1,q3_access_online_2,q3_access_online_3,q3_access_online_4,q3_access_online_5,q3_access_online_6,q3_access_online_7,q3_access_online_8,q3_access_online_9,q4_app_used_1,q4_app_used_2,q4_app_used_3,q4_app_used_4,q4_app_used_5,q4_app_used_6,q4_app_used_7,q4_app_used_8,q4_app_used_9,q4_app_used_10,q4_app_used_11,q4_app_used_12,q4_app_used_13,q4_app_used_14,q5_purpose_social_networks_1,q5_purpose_social_networks_2,q5_purpose_social_networks_3,q5_purpose_social_networks_4,q5_purpose_social_networks_5,q5_purpose_social_networks_6,q5_purpose_social_networks_7,q5_purpose_social_networks_8,q5_purpose_social_networks_9,q5_purpose_social_networks_10,q5_purpose_social_networks_11,q5_purpose_social_networks_12,q6_topic_type_1,q6_topic_type_2,q6_topic_type_3,q6_topic_type_4,q6_topic_type_5,q6_topic_type_6,q6_topic_type_7,q6_topic_type_8,q6_topic_type_9,q6_topic_type_10,q6_topic_type_11,q6_topic_type_12,q6_topic_type_13,q7_trust_news_1,q7_trust_news_2,q7_trust_news_3,q7_trust_news_4,q7_trust_news_5,q7_trust_news_6,q7_trust_news_7,q7_trust_news_8,q7_trust_news_9,q8_news_follow_frequency,q9_influencers,q10_content_influencers_1,q10_content_influencers_2,q10_content_influencers_3,q10_content_influencers_4,q10_content_influencers_5,q10_content_influencers_6,q10_content_influencers_7,q10_content_influencers_8,age,age_category,d1r2,gender,profession,d4r1,d4r2,d5r,d5,family_size_15_above,d23,device_used,d12be,d12be_r,d12at,d12at_r,d12bg,d12cy,d12cz,d12dk,d12ee,d12de,d12gr,d12gr_r,d12es,d12es_r,d12fi,d12fr,d12fr_r,d12hu,d12ie,d12it,d12it_r,d12lt,d12lu,d12lv,d12nl,d12nl_r,d12pl,d12pl_r,d12pt,d12ro,d12se,d12se_r,d12si,d12si_r,d12sk,d12mt,d12hr,eu_nms3,eu15,eu_nms12,eu_nms13,eu25,eu27,eu_la6,w1,w5,w6,w7,w9,w10,w11,w13,w14,w24,w87,w94,w100,w102,w103
1,Austria,Has nationality of survey country,Small or middle sized town,Yes,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,Online press and/or news platforms,,,,,,,,,,,Online press and/or news platforms,,,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,,,,,"You read content shared by friends on direct messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,,,WhatsApp,Facebook,YouTube,Messenger,Instagram,,,LinkedIn,Snapchat,Telegram,,,,,,,,,,,"To share my own content (pictures, video, music, etc.)",,,,,,Local news,,,,,,,,"Hobbies, lifestyle","Crime, accidents",,,,Public TV and Radio stations (incl. their online presence),,,,,,,,,You follow the news from time to time,Yes,,,,,Motivational content,,,,23.0,15 - 24 years,15 - 24 years,Male,No full-time education,Never been in full-time education,Never been in full-time education,Employee,"Professional (employed doctor, lawyer, accountant, architect ...)",Refusal,DK/Refusal,PC/Laptop/Tablet,,,Wien,Ost-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.677147494139969,,,,,0.7379891673467575,0.2367185870819618,,0.325229857815508,,0.3440362963309915,,,0.3208142351813637,
2,Austria,Has nationality of survey country,Large town,Yes,"Video platforms (e.g. YouTube, etc.)",,TV,,,,,"Social media platforms (e.g. Facebook, Instagram, etc.)","Messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,,TV,,,"Video platforms (e.g. YouTube, etc.)",,"Social media platforms (e.g. Facebook, Instagram, etc.)","Messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,"You directly go to the website or app of the news source, e.g. the website of a newspaper, a magazine, or a TV channel",,,,Via notifications from news apps you registered to or via alerts you receive,,,,,WhatsApp,Facebook,YouTube,Messenger,Instagram,,TikTok,,Snapchat,,,,,,To watch photo and video content,To share my opinion publicly/ to discuss within social media groups,,To play video games,,,"To share my own content (pictures, video, music, etc.)",For professional reasons,,To get to know new people,,,,,,Science and technology,Sport,,,"People (e.g. royals, celebrities, etc.)","Hobbies, lifestyle",,,,,,,,,,,"Influencers on social media channels (e.g. YouTube, Instagram, TikTok etc.)",,,You follow the news from time to time,Yes,,How toâ€™s (e.g. tutorials),Insight into their everyday life Â ,"Commentary on current events (e.g. on society, politics, economy, etc.)",,,,,22.0,15 - 24 years,15 - 24 years,Female,15,15 years,Up to 15,Employee,Middle management,2,0,PC/Laptop/Tablet,,,Wien,Ost-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.5362707263939617,,,,,0.5844546280815374,0.1874706024078646,,0.257567595841499,,0.2724614594839996,,,0.2540706189229006,
3,Austria,Has nationality of survey country,Rural area or village,No,Radio,,TV,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,,Radio,TV,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,,,,You read articles or posts that appear in your online social networks,,,,,,,WhatsApp,Facebook,,,Instagram,,TikTok,,Snapchat,,,,,,To watch photo and video content,,,,To follow the news and current events,To buy or sell products,"To share my own content (pictures, video, music, etc.)",,To follow what friends/family/colleagues are doing,,,,,,,,,,,,,,,,Donâ€™t know,Public TV and Radio stations (incl. their online presence),,"The written press (such as newspapers or magazines), incl. their online presence",,,,,,,You actively search news several times a day,Yes,,,,,,,Other,,19.0,15 - 24 years,15 - 24 years,Female,19,19 years,16-19,Employee,Office clerk,4,0,PC/Laptop/Tablet,,,Kaernten,Sued-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.682078687537856,,,,,0.7433634282592261,0.2384424436182077,,0.3275982802663545,,0.3465416729701764,,,0.323150501729147,
4,Austria,Has nationality of survey country,Large town,Yes,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,,,,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,,,,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,,,"You use a news aggregator app or website, meaning a website or app that assembles information from different (...).",,,,,,,,,Facebook,,Messenger,,,,,,,,,,,,To share my opinion publicly/ to discuss within social media groups,,,,,,,,,,,,,,,Sport,,,,,,,,,Public TV and Radio stations (incl. their online presence),,,,,,,,,You are trying to avoid some news topics,I do not use social media channels,,,,,,,,,23.0,15 - 24 years,15 - 24 years,Male,23,22 years and older,20 years and older,Employee,Middle management,2,1,PC/Laptop/Tablet,,,Wien,Ost-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.677147494139969,,,,,0.7379891673467575,0.2367185870819618,,0.325229857815508,,0.3440362963309915,,,0.3208142351813637,
5,Austria,Has nationality of survey country,Small or middle sized town,Yes,TV,,,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,,,,,,,TV,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,,,,,,,,,,,Via email newsletter(s) you receive,,,,,,,,,,,,Snapchat,,,,,,,,,,,,"To share my own content (pictures, video, music, etc.)",,,,,,,,,,,,Culture and art,,,,,,,,,,,YouTube or other video platforms,,,,,You are trying to avoid some news topics,I do not use social media channels,,,,,,,,,22.0,15 - 24 years,15 - 24 years,Male,Still studying,Still in full-time education,Still in full-time education,Employee,Middle management,Refusal,DK/Refusal,PC/Laptop/Tablet,,,Oberoesterreich,West-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.7139649206690144,,,,,0.7781146380649645,0.2495892973236334,,0.3429130457454618,,0.3627420157984742,,,0.3382573397272402,
6,Austria,Yes,Large town,Yes,"Social media platforms (e.g. Facebook, Instagram, etc.)",Radio,,,,,,,,,,,Radio,,,,,,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,,"You directly go to the website or app of the news source, e.g. the website of a newspaper, a magazine, or a TV channel",,You read articles or posts that appear in your online social networks,,,,,,,WhatsApp,Facebook,YouTube,Messenger,Instagram,,TikTok,LinkedIn,Snapchat,,,,,,To watch photo and video content,,To send direct messages to friends and family,,To follow the news and current events,To buy or sell products,"To share my own content (pictures, video, music, etc.)",,To follow what friends/family/colleagues are doing,,,,Local news,National politics,European and international affairs,Science and technology,,Financial and economic news,,,"Hobbies, lifestyle",,,,,Public TV and Radio stations (incl. their online presence),,"The written press (such as newspapers or magazines), incl. their online presence",,,,,,,You follow the news from time to time,Yes,,How toâ€™s (e.g. tutorials),,"Commentary on current events (e.g. on society, politics, economy, etc.)",,,,,19.0,15 - 24 years,15 - 24 years,Female,Still studying,Still in full-time education,Still in full-time education,Refusal,Refusal,1,0,PC/Laptop/Tablet,,,Salzburg,West-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,1.24298635769066e+16,,,,,1.35466862843607e+16,0.4345256785279769,,0.5969988516191591,,0.631520350574396,,,0.5888934406969456,
7,Austria,Has nationality of survey country,Rural area or village,Don't know,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,,"Messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,,,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,"Social media platforms (e.g. Facebook, Instagram, etc.)","Messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,"You directly go to the website or app of the news source, e.g. the website of a newspaper, a magazine, or a TV channel",,You read articles or posts that appear in your online social networks,"You read content shared by friends on direct messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,,,WhatsApp,Facebook,,,Instagram,,,,,,,,,,,,To send direct messages to friends and family,,,,"To share my own content (pictures, video, music, etc.)",,,,,,,,,,,,,,,,,,Donâ€™t know,Public TV and Radio stations (incl. their online presence),,"The written press (such as newspapers or magazines), incl. their online presence",,,"People, groups or friends I follow on social media or messaging platforms",,,,You follow the news on a daily basis,Yes,"Reviews (e.g. products, books, places, etc.)",,,"Commentary on current events (e.g. on society, politics, economy, etc.)",Motivational content,,,,16.0,15 - 24 years,15 - 24 years,Female,Still studying,Still in full-time education,Still in full-time education,Without a professional activity,Student (full-time),Don't know,3,PC/Laptop/Tablet,,,Niederoesterreich,Ost-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,1.32751473330774e+16,,,,,1.44679187496458e+16,0.464075278604132,,0.6375973206694391,,0.6744664288421851,,,0.6289407072221742,
8,Austria,Has nationality of survey country,Large town,Yes,"Messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,Online press and/or news platforms,,,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,,,,,Online press and/or news platforms,,,"Social media platforms (e.g. Facebook, Instagram, etc.)","Messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,,,,,,,Other,,,WhatsApp,Facebook,YouTube,,Instagram,,TikTok,,Snapchat,,,,,,To watch photo and video content,,To send direct messages to friends and family,,To follow the news and current events,,"To share my own content (pictures, video, music, etc.)",,To follow what friends/family/colleagues are doing,,,,,,European and international affairs,,Sport,Financial and economic news,Culture and art,"People (e.g. royals, celebrities, etc.)","Hobbies, lifestyle","Crime, accidents",,,,Public TV and Radio stations (incl. their online presence),,"The written press (such as newspapers or magazines), incl. their online presence",,YouTube or other video platforms,,,,,You follow the news on a daily basis,Yes,"Reviews (e.g. products, books, places, etc.)",How toâ€™s (e.g. tutorials),Insight into their everyday life Â ,,,,,,18.0,15 - 24 years,15 - 24 years,Female,Still studying,Still in full-time education,Still in full-time education,Without a professional activity,Student (full-time),1,0,PC/Laptop/Tablet,,,Wien,Ost-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,1.35244992119656e+16,,,,,1.4739674884121e+16,0.4727921718906708,,0.649573541037772,,0.6871351749629744,,,0.64075432729887,
9,Austria,Has nationality of survey country,Small or middle sized town,No,"Video platforms (e.g. YouTube, etc.)",,,,,,,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,,,,,,"Video platforms (e.g. YouTube, etc.)",,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,,,,You read articles or posts that appear in your online social networks,,,,,,,,,,,Instagram,,,,,,,,,,,,To send direct messages to friends and family,,,,,,To follow what friends/family/colleagues are doing,,,,,,European and international affairs,,,,,,,,,,,,,,,,,,Other,,You are trying to avoid some news topics,Yes,,,,"Commentary on current events (e.g. on society, politics, economy, etc.)",,,,,24.0,15 - 24 years,15 - 24 years,Female,23,22 years and older,20 years and older,Employee,Other (Employee),5,0,PC/Laptop/Tablet,,,Oberoesterreich,West-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.5654284922271846,,,,,0.6162322179200431,0.1976636330108553,,0.2715718949317602,,0.2872755581159217,,,0.2678847826410479,
10,Austria,Has nationality of survey country,Large town,Yes,Radio,,,,,,,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,,Radio,,,,,,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,,"You directly go to the website or app of the news source, e.g. the website of a newspaper, a magazine, or a TV channel",,,,,,,,,,,,,,,TikTok,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,"Crime, accidents",,,,Public TV and Radio stations (incl. their online presence),Private TV and Radio stations (incl. their online presence),"The written press (such as newspapers or magazines), incl. their online presence",,,,,,,You actively avoid all news,Yes,,How toâ€™s (e.g. tutorials),Insight into their everyday life Â ,,,,,,17.0,15 - 24 years,15 - 24 years,Female,Refusal,Refusal,Refusal,Without a professional activity,Other (without a professional activity),4,0,PC/Laptop/Tablet,,,Wien,Ost-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,1.35244992119656e+16,,,,,1.4739674884121e+16,0.4727921718906708,,0.649573541037772,,0.6871351749629744,,,0.64075432729887,
